title,stars,quality,imdb_code,keywords,genres,year,eps,type
Valkyrien - Season 1,,HD,,valkyrien - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2017,8,series
Modern Marvels - Season 10,,HD,,modern marvels - season 10;gostream;watchfree;free movies;watch series;series9,Documentary;History,1993,52,series
Mr. Robot - Season 03,,HD,,mr. robot - season 03;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Thriller,2017,10,series
Seven Seconds - Season 1,,HD,,seven seconds - season 1;gostream;watchfree;free movies;watch series;series9,Crime;Drama,2018,10,series
DC's Legends of Tomorrow - Season 3,Dominic Purcell;Victor Garber;Maisie Richardson-Sellers;Brandon Routh;Nick Zano;Franz Drameh;Caity Lotz;Amy Pemberton,HD,,dc's legends of tomorrow - season 3;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Drama;Sci-Fi,2017,18,series
New Girl - Season 7 ,Zooey Deschanel;Jake Johnson;Max Greenfield,HD,,new girl - season 7 ;gostream;watchfree;free movies;watch series;series9,Comedy,2018,8,series
Siren - Season 1,Tammy Gillis;Rena Owen;Ron Yuan;Sibongile Mlambo;Eline Powell;Curtis Lum;Fola Evans-Akingbola;Ian Verdun,HD 720,,siren - season 1;gostream;watchfree;free movies;watch series;series9,Drama;Fantasy,2018,10,series
The Good Fight - Season 2,,HD ,,the good fight - season 2;gostream;watchfree;free movies;watch series;series9,Drama,2018,13,series
Killing Eve - Season 1,Sandra Oh;Jodie Comer;Fiona Shaw,HD 720,,killing eve - season 1;gostream;watchfree;free movies;watch series;series9,Thriller,2018,8,series
Deception - Season 1,Lenora Crichlow;Laila Robins;Justin Chon;Amaury Nolasco;Ilfenesh Hadera;Tanc Sade;Ruben Navarro;Joe Carroll,HD,,deception - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2018,13,series
Picnic at Hanging Rock - Season 1,Natalie Dormer;Lily Sullivan;Lola Bessis;Harrison Gilbertson;Samara Weaving;Madeleine Madden,HD 720p,,picnic at hanging rock - season 1;gostream;watchfree;free movies;watch series;series9,Drama;Mystery;Romance,2018,6,series
Trust - Season 1,Brendan Fraser;Harris Dickinson;Michael Esper;Donald Sutherland,HD 720,,trust - season 1;gostream;watchfree;free movies;watch series;series9,Comedy;Drama,2018,10,series
iZombie - Season 4,Rose McIver;Malcolm Goodwin;Rahul Kohli;Aly Michalka;Robert Buckley;David Anders;Bryce Hodgson,HD,,izombie - season 4;gostream;watchfree;free movies;watch series;series9,Comedy;Crime;Drama,2018,13,series
Lucifer - Season 3,Lauren German;DB Woodside;Aimee Garcia;Tom Ellis;Lesley Ann Brandt;Rachael Harris;Kevin Alejandro;Scarlett Estevez,HD 720,,lucifer - season 3;gostream;watchfree;free movies;watch series;series9,Comedy,0,26,series
Unbreakable Kimmy Schmidt - Season 4,Ellie Kemper;Tituss Burgess;Carol Kane;Jane Krakowski;Sara Chase,HD 720,,unbreakable kimmy schmidt - season 4;gostream;watchfree;free movies;watch series;series9,Comedy;Drama,2018,6,series
The Americans - Season 6,Keri Russell;Matthew Rhys;Keidrich Sellati,HD,,the americans - season 6;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Mystery,2018,10,series
Sense8 - Season 2,Terrence Mann;Doona Bae,HD 720p,,sense8 - season 2;gostream;watchfree;free movies;watch series;series9,Drama;Mystery;Sci-Fi,2017,12,series
Patrick Melrose - Season 1,Benedict Cumberbatch;Jennifer Jason Leigh;Sebastian Maltz;Jessica Raine;Hugo Weaving;Prasanna Puwanarajah;Pip Torrens;Anna Madeley,HD 720p,,patrick melrose - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2018,5,series
The Crossing - Season 1,,HD,,the crossing - season 1;gostream;watchfree;free movies;watch series;series9,Adventure;Drama;Sci-Fi,2018,11,series
Billions - Season 3,Damian Lewis;Paul Giamatti;Malin Akerman;Maggie Siff;Condola Rashad;David Costabile;Toby Leonard Moore;Kelly AuCoin,HD 720,,billions - season 3;gostream;watchfree;free movies;watch series;series9,Drama,2018,12,series
